dataset,condition,stage,region,n_epochs,wmean_µV2,wstd_µV2,median_µV2
av-1,Aversive,NREM I,dHPC,263,8106.2829223213585,1832.8453734283526,7217.624527721124
av-1,Aversive,NREM II,dHPC,246,8557.699336791899,2476.2255535868485,6516.5700344377365
av-1,Aversive,REM I,dHPC,257,8219.484043801998,2417.8626326724475,7802.032629942543
av-1,Aversive,REM II,dHPC,242,8546.836661222978,2935.626972015244,7805.273932700512
av-1,Aversive,NREM I,vHPC,263,9827.82079307093,1392.5135111247541,9493.804087982395
av-1,Aversive,NREM II,vHPC,246,10842.69942238362,1933.6210233744985,9849.790208362403
av-1,Aversive,REM I,vHPC,257,10143.588260973462,2040.0098905872894,9379.868687612885
av-1,Aversive,REM II,vHPC,242,10423.426955177494,2253.5147345139317,9943.393196186244
av-1,Aversive,NREM I,BLA,263,5320.233162086757,1161.5217719363766,4445.33762685645
av-1,Aversive,NREM II,BLA,246,5251.863864320545,1247.8468852401102,4334.611961204799
av-1,Aversive,REM I,BLA,257,4405.533406157935,1091.411763536869,4248.4525716310345
av-1,Aversive,REM II,BLA,242,4662.3790678597925,1313.8597779879892,4388.6770023759445
av-2,Aversive,NREM I,dHPC,32,9904.882210598826,942.7251887541187,10111.225590793858
av-2,Aversive,NREM II,dHPC,26,9917.866418493928,1053.1999354921047,9837.664638347007
av-2,Aversive,REM I,dHPC,20,8365.110872874422,679.0830983381089,8264.008338524902
av-2,Aversive,REM II,dHPC,17,8646.497756687648,889.9021489281689,8498.137486126683
av-2,Aversive,NREM I,vHPC,32,15484.6966042656,1153.5870007190258,15635.31870470661
av-2,Aversive,NREM II,vHPC,26,14298.800290397494,1269.810187208892,14088.051229724326
av-2,Aversive,REM I,vHPC,20,13897.018698518217,865.4555416483023,13598.604785872321
av-2,Aversive,REM II,vHPC,17,13072.536901637328,1011.803019269831,12747.021980487638
av-2,Aversive,NREM I,BLA,32,6167.815145224209,469.2937028576496,6164.21044699547
av-2,Aversive,NREM II,BLA,26,6204.9245885743585,792.5124115643561,6457.568743854421
av-2,Aversive,REM I,BLA,20,4568.815013040103,533.8810763023149,4620.269440932365
av-2,Aversive,REM II,BLA,17,4563.560376185973,559.8149316065202,4645.879252035847
rw-1,Rewarded,NREM I,dHPC,8,8223.3580478623,777.9745703437387,8341.132863953479
rw-1,Rewarded,NREM II,dHPC,5,8925.47349080146,665.7570324029457,8842.622308422246
rw-1,Rewarded,REM I,dHPC,8,7519.730691177462,872.8206219386077,7572.464853215539
rw-1,Rewarded,REM II,dHPC,5,7893.077323302811,731.1108055860238,8036.345068677518
rw-1,Rewarded,NREM I,vHPC,8,9217.740198485248,657.8015001881836,9450.94604837221
rw-1,Rewarded,NREM II,vHPC,5,10130.718758179884,521.2477289519932,10102.188383192235
rw-1,Rewarded,REM I,vHPC,8,9709.457614734298,1389.8331284199714,9614.965055222925
rw-1,Rewarded,REM II,vHPC,5,10399.93415776786,1103.7421850359867,9378.665387150524
rw-1,Rewarded,NREM I,BLA,8,6429.893282031293,685.3967123196647,6377.219963333087
rw-1,Rewarded,NREM II,BLA,5,7113.93180327192,243.04103099141545,7031.083042823436
rw-1,Rewarded,REM I,BLA,8,4519.578497987507,512.3482548955881,4759.046030730778
rw-1,Rewarded,REM II,BLA,5,4835.962753820856,469.86388954555684,4955.656662849536
rw-2,Rewarded,NREM I,dHPC,184,7677.990986794563,1879.9307008284236,6346.502397008813
rw-2,Rewarded,NREM II,dHPC,202,8322.029478965464,2165.6215197825477,6666.184801419813
rw-2,Rewarded,REM I,dHPC,178,7973.092305677467,2285.1691230886627,7916.140929520976
rw-2,Rewarded,REM II,dHPC,193,8156.473674984305,2647.885381709708,7865.503976355234
rw-2,Rewarded,NREM I,vHPC,184,9921.141633288065,1320.2648245648384,9864.256517141152
rw-2,Rewarded,NREM II,vHPC,202,9936.365787500696,1363.327617583166,9232.040762946119
rw-2,Rewarded,REM I,vHPC,178,10278.447830899066,1610.7609548323464,9910.877950804083
rw-2,Rewarded,REM II,vHPC,193,9717.26712498196,1795.7139643720866,9251.091270373305
rw-2,Rewarded,NREM I,BLA,184,6039.387121658757,1516.7686641422017,4992.355487754435
rw-2,Rewarded,NREM II,BLA,202,6445.695740115243,1615.080436812917,5349.497983200065
rw-2,Rewarded,REM I,BLA,178,5120.472245443171,1306.2234352779103,5085.943064655847
rw-2,Rewarded,REM II,BLA,193,5436.974035948629,1592.830909230604,5302.584110751456
