dataset_A,dataset_B,stage,region,band,n_A,n_B,U,p_mwu,p_perm,sig_mwu,sig_perm,r,eta2,effet
av-1,av-2,NREM I,dHPC,low,263,32,2554.0,0.0002844371301277879,0.2942,***,ns,0.39306083650190116,0.15449682119157426,grand
av-1,av-2,NREM I,dHPC,theta,263,32,2988.0,0.007438672608783927,0.0838,**,ns,0.2899239543726235,0.08405589931905909,moyen
av-1,av-2,NREM I,dHPC,beta,263,32,4653.0,0.32927176986258266,1.0,ns,ns,-0.10575095057034223,0.011183263546530965,petit
av-1,av-2,NREM I,dHPC,high,263,32,5549.0,0.003259854199397056,0.0269,**,*,-0.31867870722433467,0.1015561184381732,moyen
av-1,av-2,NREM I,vHPC,low,263,32,0.0,2.5935892960642224e-20,0.0,***,***,1.0,1.0,grand
av-1,av-2,NREM I,vHPC,theta,263,32,1899.0,4.048559427651209e-07,0.0013,***,**,0.5487167300380228,0.30109004982362036,grand
av-1,av-2,NREM I,vHPC,beta,263,32,8182.0,2.7581242671988357e-18,0.0,***,***,-0.9443916349809887,0.8918755602220649,grand
av-1,av-2,NREM I,vHPC,high,263,32,8327.0,1.5779316152258406e-19,0.0,***,***,-0.9788498098859315,0.9581469503137242,grand
av-1,av-2,NREM I,BLA,low,263,32,2272.0,2.1568201280071092e-05,0.1279,***,ns,0.4600760456273765,0.2116699677601238,grand
av-1,av-2,NREM I,BLA,theta,263,32,2835.0,0.0025924046711492074,0.0799,**,ns,0.3262832699619772,0.10646077225708049,moyen
av-1,av-2,NREM I,BLA,beta,263,32,5278.0,0.018908899061483155,0.1976,*,ns,-0.25427756653992395,0.06465708084546545,moyen
av-1,av-2,NREM I,BLA,high,263,32,5022.0,0.07418717613921946,0.1608,ns,ns,-0.1934410646387832,0.0374194454885859,petit
av-1,av-2,NREM II,dHPC,low,246,26,1102.0,3.942256288151923e-08,0.004,***,**,0.6554096310193871,0.42956178443296916,grand
av-1,av-2,NREM II,dHPC,theta,246,26,1957.0,0.0011459208616481167,0.0274,**,*,0.3880550343964978,0.1505867097204671,grand
av-1,av-2,NREM II,dHPC,beta,246,26,3628.0,0.26018763317360183,0.1568,ns,ns,-0.13445903689806138,0.01807923260355423,petit
av-1,av-2,NREM II,dHPC,high,246,26,5199.0,1.5681411201392692e-07,0.0064,***,**,-0.625703564727955,0.39150495091327014,grand
av-1,av-2,NREM II,vHPC,low,246,26,107.0,5.413280108573723e-16,0.0,***,***,0.966541588492808,0.9342026422862006,grand
av-1,av-2,NREM II,vHPC,theta,246,26,558.0,4.531372984526699e-12,0.001,***,**,0.8255159474671669,0.6814765795226143,grand
av-1,av-2,NREM II,vHPC,beta,246,26,6156.0,8.96199660715657e-15,0.0,***,***,-0.9249530956848031,0.8555382292169005,grand
av-1,av-2,NREM II,vHPC,high,246,26,6230.0,1.9081648978034773e-15,0.0,***,***,-0.9480925578486554,0.8988794982480061,grand
av-1,av-2,NREM II,BLA,low,246,26,854.0,8.069270538127611e-10,0.0009,***,***,0.7329580988117573,0.5372275746137458,grand
av-1,av-2,NREM II,BLA,theta,246,26,1152.0,8.214955237619643e-08,0.0143,***,*,0.6397748592870545,0.40931187057577034,grand
av-1,av-2,NREM II,BLA,beta,246,26,5166.0,2.4978410346569476e-07,0.0087,***,**,-0.6153846153846154,0.37869822485207105,grand
av-1,av-2,NREM II,BLA,high,246,26,5308.0,3.2001072318592914e-08,0.002,***,**,-0.6597873671044403,0.4353193697906095,grand
av-1,av-2,REM I,dHPC,low,257,20,2225.0,0.318117392722153,0.7154,ns,ns,0.13424124513618674,0.01802071189571378,petit
av-1,av-2,REM I,dHPC,theta,257,20,3128.0,0.1061826808214214,0.1737,ns,ns,-0.21712062256809328,0.047141364744356415,petit
av-1,av-2,REM I,dHPC,beta,257,20,2150.0,0.22410752973393688,0.3243,ns,ns,0.16342412451361865,0.026707444473042734,petit
av-1,av-2,REM I,dHPC,high,257,20,2324.0,0.47681173821927125,0.9514,ns,ns,0.09571984435797665,0.009162288603915273,négligeable
av-1,av-2,REM I,vHPC,low,257,20,26.0,1.695255153173693e-13,0.0,***,***,0.9898832684824903,0.979868885221578,grand
av-1,av-2,REM I,vHPC,theta,257,20,1609.0,0.005378350301678998,0.0431,**,*,0.37392996108949417,0.13982361580039063,moyen
av-1,av-2,REM I,vHPC,beta,257,20,4435.0,6.547143906146571e-08,0.0015,***,**,-0.7256809338521402,0.5266128177565143,grand
av-1,av-2,REM I,vHPC,high,257,20,4525.0,1.4789457668555041e-08,0.0017,***,**,-0.7607003891050583,0.5786650819845871,grand
av-1,av-2,REM I,BLA,low,257,20,2371.0,0.5651306964411169,0.7474,ns,ns,0.07743190661478594,0.0059957001620009305,négligeable
av-1,av-2,REM I,BLA,theta,257,20,2781.0,0.5418534980684295,0.8113,ns,ns,-0.08210116731517503,0.006740601674514364,négligeable
av-1,av-2,REM I,BLA,beta,257,20,2534.0,0.9180612074534465,0.8848,ns,ns,0.014007782101167265,0.000196217959393782,négligeable
av-1,av-2,REM I,BLA,high,257,20,2140.0,0.21325770265605226,0.8702,ns,ns,0.16731517509727623,0.027994367817832204,petit
av-1,av-2,REM II,dHPC,low,242,17,1145.0,0.0022655705334523515,0.247,**,ns,0.44336412250850754,0.1965717451277389,grand
av-1,av-2,REM II,dHPC,theta,242,17,2352.0,0.3239323630928137,0.2784,ns,ns,-0.14341273699562462,0.0205672131325762,petit
av-1,av-2,REM II,dHPC,beta,242,17,1761.0,0.3222921174770892,0.3923,ns,ns,0.14389888186679634,0.020706888202514206,petit
av-1,av-2,REM II,dHPC,high,242,17,2101.0,0.8841578212960082,0.9369,ns,ns,-0.021390374331550888,0.0004575481140438711,négligeable
av-1,av-2,REM II,vHPC,low,242,17,62.0,2.382064420389982e-11,0.0,***,***,0.9698590179873602,0.9406265147714067,grand
av-1,av-2,REM II,vHPC,theta,242,17,819.0,3.399201876536014e-05,0.0008,***,***,0.6018473505104521,0.36222023331645103,grand
av-1,av-2,REM II,vHPC,beta,242,17,3756.0,1.2777152448349812e-08,0.001,***,**,-0.825960136120564,0.6822101464603005,grand
av-1,av-2,REM II,vHPC,high,242,17,3516.0,1.0334816315232323e-06,0.01,***,*,-0.7092853670393777,0.5030857318961848,grand
av-1,av-2,REM II,BLA,low,242,17,1290.0,0.010248106352155575,0.2355,*,ns,0.3728731161886242,0.13903436077621523,moyen
av-1,av-2,REM II,BLA,theta,242,17,1899.0,0.5978212030822544,0.9015,ns,ns,0.07681088964511429,0.005899912768073926,négligeable
av-1,av-2,REM II,BLA,beta,242,17,2663.0,0.04255166891882176,0.0538,*,ns,-0.2946037919299951,0.08679139421953183,moyen
av-1,av-2,REM II,BLA,high,242,17,1866.0,0.5234295875425723,0.7559,ns,ns,0.09285367039377734,0.008621804105596244,négligeable
