dataset,condition,sleep_type,region_pair,stage_I,stage_II,n_stage1,n_stage2,wmean_stage1,wmean_stage2,delta_obs,ci_low,ci_high,p_perm,sig_perm
av-1,Aversive,NREM,vHPC ↔ dHPC,NREM I,NREM II,263,246,0.170326,0.211737,0.041411,0.017855,0.06431,0.0106,*
av-1,Aversive,NREM,BLA ↔ dHPC,NREM I,NREM II,263,246,0.28271,0.331357,0.048646,0.021125,0.07547,0.0122,*
av-1,Aversive,NREM,BLA ↔ vHPC,NREM I,NREM II,263,246,0.317473,0.36303,0.045556,0.020016,0.06946,0.0096,**
av-2,Aversive,NREM,vHPC ↔ dHPC,NREM I,NREM II,32,26,0.129474,0.161291,0.031817,0.019575,0.043506,0.0003,***
av-2,Aversive,NREM,BLA ↔ dHPC,NREM I,NREM II,32,26,0.228654,0.281144,0.05249,0.033807,0.070414,0.0001,***
av-2,Aversive,NREM,BLA ↔ vHPC,NREM I,NREM II,32,26,0.282084,0.306713,0.024629,0.012487,0.036132,0.0029,**
rw-1,Rewarded,NREM,vHPC ↔ dHPC,NREM I,NREM II,8,5,0.213775,0.211666,-0.002109,-0.043328,0.047378,0.9457,ns
rw-1,Rewarded,NREM,BLA ↔ dHPC,NREM I,NREM II,8,5,0.338991,0.345569,0.006578,-0.041825,0.068866,0.8099,ns
rw-1,Rewarded,NREM,BLA ↔ vHPC,NREM I,NREM II,8,5,0.339124,0.32752,-0.011605,-0.056464,0.044636,0.6983,ns
rw-2,Rewarded,NREM,vHPC ↔ dHPC,NREM I,NREM II,184,202,0.27753,0.306266,0.028735,0.005111,0.051767,0.1717,ns
rw-2,Rewarded,NREM,BLA ↔ dHPC,NREM I,NREM II,184,202,0.422257,0.453332,0.031075,0.00481,0.057042,0.195,ns
rw-2,Rewarded,NREM,BLA ↔ vHPC,NREM I,NREM II,184,202,0.39671,0.432376,0.035667,0.008135,0.062802,0.1643,ns
av-1,Aversive,REM,vHPC ↔ dHPC,REM I,REM II,257,242,0.186288,0.224056,0.037768,0.013285,0.062241,0.0242,*
av-1,Aversive,REM,BLA ↔ dHPC,REM I,REM II,257,242,0.302054,0.349431,0.047377,0.019862,0.075406,0.016,*
av-1,Aversive,REM,BLA ↔ vHPC,REM I,REM II,257,242,0.320576,0.36046,0.039884,0.014722,0.065451,0.029,*
av-2,Aversive,REM,vHPC ↔ dHPC,REM I,REM II,20,17,0.166993,0.188771,0.021778,-0.004514,0.050163,0.1452,ns
av-2,Aversive,REM,BLA ↔ dHPC,REM I,REM II,20,17,0.294353,0.31996,0.025606,-0.007562,0.05959,0.161,ns
av-2,Aversive,REM,BLA ↔ vHPC,REM I,REM II,20,17,0.314931,0.327786,0.012854,-0.015541,0.042916,0.4121,ns
rw-1,Rewarded,REM,vHPC ↔ dHPC,REM I,REM II,8,5,0.22883,0.207208,-0.021622,-0.096646,0.042836,0.6299,ns
rw-1,Rewarded,REM,BLA ↔ dHPC,REM I,REM II,8,5,0.374807,0.346334,-0.028473,-0.104422,0.040326,0.5449,ns
rw-1,Rewarded,REM,BLA ↔ vHPC,REM I,REM II,8,5,0.353262,0.325194,-0.028068,-0.110296,0.046441,0.5721,ns
rw-2,Rewarded,REM,vHPC ↔ dHPC,REM I,REM II,178,193,0.285513,0.327802,0.042289,0.018182,0.065309,0.0398,*
rw-2,Rewarded,REM,BLA ↔ dHPC,REM I,REM II,178,193,0.444862,0.492552,0.04769,0.021503,0.073894,0.0498,*
rw-2,Rewarded,REM,BLA ↔ vHPC,REM I,REM II,178,193,0.396472,0.435,0.038528,0.011817,0.063835,0.0718,ns
